,0
arp_conflict_present,0.00017053793345089675
pct_icmp_no_response,0.00022742503122969059
pct_out_of_order,0.0002559147346328223
pct_dns_sans_reponse,0.0007844418504041587
pct_zerowindow,0.0015203501304405927
pct_arp,0.001718366819601175
pct_icmp_unreachable,0.0038308307332894946
pct_stp,0.012789658997238886
nb_paquets,0.018909503177552807
frame_len_mean,0.019566046011708377
frame_len_std,0.025292460184390807
pct_rst,0.03046230500503145
nb_mac_src_distinct,0.030748244458385376
nb_ip_dst_distinct,0.04141258975759584
pct_syn_ack,0.046665596491903986
pct_http,0.06306683362863523
nb_ports_dst_distinct,0.0638359967836301
pct_syn,0.07194214224334601
pct_dns,0.09398624484941163
pct_retransmission,0.10599085642621009
tcp_win_mean,0.11368746579708183
pct_tcp,0.11903457087328483
pct_icmp,0.13410161808154403
