Algorithme,Accuracy,Precision,Recall,F1-Score
K-Means,0.8329809725158562,0.784313109570972,0.7705439214873177,0.7715640013053807
XGBoost,0.9947145877378436,0.9964234620886981,0.99354366807197,0.9949540389158625
Ensemble (Voting),0.8604651162790697,0.8281590874082561,0.8054518856405649,0.8079988262279353
