true_label,true_binary,predicted,anomaly_score,is_anomaly
Erreur de configuration,Anomalie,Normal,-0.4021603251658744,0
Erreur de configuration,Anomalie,Normal,-0.3646640459311598,0
Erreur de configuration,Anomalie,Normal,-0.37042310571049764,0
Erreur de configuration,Anomalie,Normal,-0.3533347219313984,0
Erreur de configuration,Anomalie,Normal,-0.4592860804989946,0
Erreur de configuration,Anomalie,Anomalie,-0.5840420733542585,1
Erreur de configuration,Anomalie,Normal,-0.40171889756399487,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.34655795689715263,0
Erreur de configuration,Anomalie,Normal,-0.3430047637102031,0
Erreur de configuration,Anomalie,Normal,-0.34655795689715263,0
Erreur de configuration,Anomalie,Normal,-0.34147689738952325,0
Erreur de configuration,Anomalie,Normal,-0.34666805583826577,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.35113513137371855,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.3870913520073125,0
Erreur de configuration,Anomalie,Normal,-0.387871044477194,0
Erreur de configuration,Anomalie,Normal,-0.34171026806039506,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.3458130621346835,0
Erreur de configuration,Anomalie,Normal,-0.4073020107964187,0
Erreur de configuration,Anomalie,Normal,-0.36203759015776665,0
Erreur de configuration,Anomalie,Normal,-0.3682723371270843,0
Erreur de configuration,Anomalie,Normal,-0.37257985413064576,0
Erreur de configuration,Anomalie,Normal,-0.39711326875513936,0
Erreur de configuration,Anomalie,Normal,-0.3797728739896586,0
Erreur de configuration,Anomalie,Normal,-0.43743405288094184,0
Erreur de configuration,Anomalie,Normal,-0.3770601873791694,0
Erreur de configuration,Anomalie,Normal,-0.377189332898757,0
Erreur de configuration,Anomalie,Normal,-0.42785688814606093,0
Erreur de configuration,Anomalie,Normal,-0.39100032831235265,0
Erreur de configuration,Anomalie,Anomalie,-0.5461758318950335,1
Erreur de configuration,Anomalie,Normal,-0.41954251011896926,0
Erreur de configuration,Anomalie,Normal,-0.3413109689961362,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.3397837015839723,0
Erreur de configuration,Anomalie,Normal,-0.35062354423989545,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.3412459369349883,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.3959414043378033,0
Erreur de configuration,Anomalie,Normal,-0.393062755979315,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.3413109689961362,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.3490207514867674,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.33851296977688866,0
Erreur de configuration,Anomalie,Normal,-0.35424882979319916,0
Erreur de configuration,Anomalie,Normal,-0.388136121636303,0
Erreur de configuration,Anomalie,Normal,-0.3947628952745471,0
Erreur de configuration,Anomalie,Normal,-0.4079106390927699,0
Erreur de configuration,Anomalie,Normal,-0.36295049997216905,0
Erreur de configuration,Anomalie,Normal,-0.4088242638016776,0
Erreur de configuration,Anomalie,Normal,-0.3637190583204129,0
Erreur de configuration,Anomalie,Normal,-0.3920295818084267,0
Erreur de configuration,Anomalie,Normal,-0.40177316859506557,0
Erreur de configuration,Anomalie,Normal,-0.3907396838549436,0
Erreur de configuration,Anomalie,Normal,-0.3659136537668051,0
Erreur de configuration,Anomalie,Normal,-0.39716787081056665,0
Erreur de configuration,Anomalie,Normal,-0.39142622159025625,0
Erreur de configuration,Anomalie,Anomalie,-0.5253016241251114,1
Erreur de configuration,Anomalie,Normal,-0.423000851756481,0
Erreur de configuration,Anomalie,Normal,-0.3397837015839723,0
Erreur de configuration,Anomalie,Normal,-0.389212281823104,0
Erreur de configuration,Anomalie,Normal,-0.40735911848547446,0
Erreur de configuration,Anomalie,Normal,-0.38558159865145497,0
Erreur de configuration,Anomalie,Normal,-0.34126307999990324,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.3412459369349883,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.3544960103848889,0
Erreur de configuration,Anomalie,Normal,-0.34655795689715263,0
Erreur de configuration,Anomalie,Normal,-0.3790173972043255,0
Erreur de configuration,Anomalie,Normal,-0.38125831340946137,0
Erreur de configuration,Anomalie,Normal,-0.401248086957303,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.35211253998185116,0
